Республика Адыгея,2833,3232,5
Республика Башкортостан,25731,28138,27
Республика Бурятия,6890,7547,15
Республика Алтай,1694,2180,2
Республика Дагестан,25944,27338,7
Республика Ингушетия,4179,4941,6
Кабардино-Балкарская республика,6139,6587,2
Республика Калмыкия,2341,2767,19
Карачаево-Черкесская республика,3400,3899,0
Республика Карелия,3830,4394,20
Республика Коми,5365,6873,5
Республика Марий Эл,3949,4553,30
Республика Мордовия,4644,5113,3
Республика Саха (Якутия),11750,13653,3
Республика Северная Осетия — Алания,6070,7013,11
Республика Татарстан,21176,23008,109
Республика Тыва,4443,7279,1
Удмуртская республика,8424,9747,33
Республика Хакасия,2952,3892,9
Чеченская республика,11718,13944,5
Чувашская республика,8751,9458,79
Алтайский край,13976,15715,46
Краснодарский край,25127,27635,134
Красноярский край,18932,21615,80
Приморский край,11602,12775,8
Ставропольский край,14710,16112,143
Хабаровский край,7836,8713,16
Амурская область,5590,6280,0
Архангельская область,7178,8667,22
Астраханская область,3937,4754,6
Белгородская область,9383,10288,43
Брянская область,7301,8299,104
Владимирская область,6844,7691,49
Волгоградская область,13902,15989,30
Вологодская область,5727,7115,32
Воронежская область,12787,13802,59
Ивановская область,4830,5620,15
Иркутская область,14520,16750,23
Калининградская область,4045,4692,6
Калужская область,4962,5474,31
Камчатский край,1419,1709,2
Кемеровская область,13576,15423,63
Кировская область,6532,7595,55
Костромская область,2663,3218,12
Курганская область,4589,5355,20
Курская область,6046,6900,33
Ленинградская область,6272,6888,34
Липецкая область,6253,6834,38
Магаданская область,758,977,4
Московская область,34406,38348,199
Мурманская область,3966,4794,21
Нижегородская область,15277,17900,47
Новгородская область,2890,3559,14
Новосибирская область,15353,17296,36
Омская область,11929,13581,23
Оренбургская область,10356,11490,48
Орловская область,4297,4852,24
Пензенская область,6884,7554,24
Пермский край,15100,16292,90
Псковская область,3464,3741,16
Ростовская область,22953,25581,179
Рязанская область,3687,4134,12
Самарская область,17199,18596,98
Саратовская область,10884,12957,32
Сахалинская область,3011,3488,4
Свердловская область,22830,26990,81
Смоленская область,5051,5559,22
Тамбовская область,5826,6303,35
Тверская область,6156,6984,32
Томская область,5941,7180,44
Тульская область,5267,6707,18
Тюменская область,8640,9315,25
Ульяновская область,6090,7088,32
Челябинская область,12958,14978,55
Забайкальский край,8037,8789,6
Ярославская область,6015,7056,34
Москва,55856,62983,654
Санкт-Петербург,23962,29927,124
Еврейская автономная область,1121,1226,0
Ненецкий автономный округ,255,349,1
Ханты-Мансийский автономный округ - Югра,10427,11699,30
Чукотский автономный округ,395,516,1
Ямало-Ненецкий автономный округ,4415,4885,10
